"","species","site","seed_input","block_id","near_far","treat","f","i","r","a","dens","total_germinants","tot_sdlng_surv"
"106","premna","mtr1",50,"mtr1 pr.e2","far","ins","0","1","0","0",90.5,4,0
"107","premna","mtr1",50,"mtr1 pr.e2","far","rat","0","0","1","0",90.5,7,2
"108","premna","mtr1",50,"mtr1 pr.e2","far","none","0","0","0","0",90.5,10,1
"110","premna","mtr1",50,"mtr1 pr.c3","far","all","1","1","1","1",89.5,8,0
"111","premna","mtr1",50,"mtr1 pr.c3","far","fung","1","0","0","0",89.5,1,0
"112","premna","mtr1",50,"mtr1 pr.c3","far","ins","0","1","0","0",89.5,6,0
"113","premna","mtr1",50,"mtr1 pr.c3","far","rat","0","0","1","0",89.5,3,0
"114","premna","mtr1",50,"mtr1 pr.c3","far","none","0","0","0","0",89.5,2,0
"116","premna","mtr1",50,"mtr1 pr.c4","far","all","1","1","1","1",90.25,9,0
"117","premna","mtr1",50,"mtr1 pr.c4","far","fung","1","0","0","0",90.25,10,2
"118","premna","mtr1",50,"mtr1 pr.c4","far","ins","0","1","0","0",90.25,8,0
"119","premna","mtr1",50,"mtr1 pr.c4","far","rat","0","0","1","0",90.25,8,2
"120","premna","mtr1",50,"mtr1 pr.c4","far","none","0","0","0","0",90.25,8,0
"122","premna","mtr1",50,"mtr1 pr.s4a","near","all","1","1","1","1",88.5,6,0
"123","premna","mtr1",50,"mtr1 pr.s4a","near","fung","1","0","0","0",88.5,8,0
"124","premna","mtr1",50,"mtr1 pr.s4a","near","ins","0","1","0","0",88.5,0,0
"125","premna","mtr1",50,"mtr1 pr.s4a","near","rat","0","0","1","0",88.5,7,1
"126","premna","mtr1",50,"mtr1 pr.s4a","near","none","0","0","0","0",88.5,3,0
"128","premna","mtr1",50,"mtr1 pr.s4b","near","all","1","1","1","1",92.75,2,0
"129","premna","mtr1",50,"mtr1 pr.s4b","near","fung","1","0","0","0",92.75,2,0
"130","premna","mtr1",50,"mtr1 pr.s4b","near","ins","0","1","0","0",92.75,0,0
"131","premna","mtr1",50,"mtr1 pr.s4b","near","rat","0","0","1","0",92.75,11,1
"132","premna","mtr1",50,"mtr1 pr.s4b","near","none","0","0","0","0",92.75,0,0
"134","premna","mtr1",50,"mtr1 pr.b2","near","all","1","1","1","1",93.25,7,0
"135","premna","mtr1",50,"mtr1 pr.b2","near","fung","1","0","0","0",93.25,1,0
"136","premna","mtr1",50,"mtr1 pr.b2","near","ins","0","1","0","0",93.25,0,0
"137","premna","mtr1",50,"mtr1 pr.b2","near","rat","0","0","1","0",93.25,4,0
"138","premna","mtr1",50,"mtr1 pr.b2","near","none","0","0","0","0",93.25,0,0
"140","premna","mtr1",50,"mtr1 pr.s2","far","all","1","1","1","1",88.5,4,0
"141","premna","mtr1",50,"mtr1 pr.s2","far","fung","1","0","0","0",88.5,13,0
"142","premna","mtr1",50,"mtr1 pr.s2","far","ins","0","1","0","0",88.5,4,0
"143","premna","mtr1",50,"mtr1 pr.s2","far","rat","0","0","1","0",88.5,7,2
"144","premna","mtr1",50,"mtr1 pr.s2","far","none","0","0","0","0",88.5,6,0
"146","premna","forbi",50,"forbi pr.e0a","near","all","1","1","1","1",92.25,3,0
"147","premna","forbi",50,"forbi pr.e0a","near","fung","1","0","0","0",92.25,3,0
"148","premna","forbi",50,"forbi pr.e0a","near","ins","0","1","0","0",92.25,5,0
"149","premna","forbi",50,"forbi pr.e0a","near","rat","0","0","1","0",92.25,3,0
"150","premna","forbi",50,"forbi pr.e0a","near","none","0","0","0","0",92.25,7,0
"152","premna","forbi",50,"forbi pr.e0b","near","all","1","1","1","1",91,3,0
"153","premna","forbi",50,"forbi pr.e0b","near","fung","1","0","0","0",91,4,0
"154","premna","forbi",50,"forbi pr.e0b","near","ins","0","1","0","0",91,7,0
"155","premna","forbi",50,"forbi pr.e0b","near","rat","0","0","1","0",91,6,0
"156","premna","forbi",50,"forbi pr.e0b","near","none","0","0","0","0",91,4,1
"158","premna","forbi",50,"forbi pr.e2a","near","all","1","1","1","1",95,7,0
"159","premna","forbi",50,"forbi pr.e2a","near","fung","1","0","0","0",95,2,0
"160","premna","forbi",50,"forbi pr.e2a","near","ins","0","1","0","0",95,3,0
"161","premna","forbi",50,"forbi pr.e2a","near","rat","0","0","1","0",95,4,0
"162","premna","forbi",50,"forbi pr.e2a","near","none","0","0","0","0",95,4,0
"164","premna","forbi",50,"forbi pr.e2b","near","all","1","1","1","1",93.75,1,0
"165","premna","forbi",50,"forbi pr.e2b","near","fung","1","0","0","0",93.75,0,0
"166","premna","forbi",50,"forbi pr.e2b","near","ins","0","1","0","0",93.75,0,0
"167","premna","forbi",50,"forbi pr.e2b","near","rat","0","0","1","0",93.75,5,0
"168","premna","forbi",50,"forbi pr.e2b","near","none","0","0","0","0",93.75,4,0
"170","premna","forbi",50,"forbi pr.e4a","near","all","1","1","1","1",95.25,5,0
"171","premna","forbi",50,"forbi pr.e4a","near","fung","1","0","0","0",95.25,5,0
"172","premna","forbi",50,"forbi pr.e4a","near","ins","0","1","0","0",95.25,10,0
"173","premna","forbi",50,"forbi pr.e4a","near","rat","0","0","1","0",95.25,3,0
"174","premna","forbi",50,"forbi pr.e4a","near","none","0","0","0","0",95.25,5,0
"176","premna","forbi",50,"forbi pr.e4b","near","all","1","1","1","1",95.75,5,0
"177","premna","forbi",50,"forbi pr.e4b","near","fung","1","0","0","0",95.75,0,0
"178","premna","forbi",50,"forbi pr.e4b","near","ins","0","1","0","0",95.75,1,0
"179","premna","forbi",50,"forbi pr.e4b","near","rat","0","0","1","0",95.75,3,0
"180","premna","forbi",50,"forbi pr.e4b","near","none","0","0","0","0",95.75,2,0
"182","premna","forbi",50,"forbi pr.c2","far","all","1","1","1","1",94.25,0,0
"183","premna","forbi",50,"forbi pr.c2","far","fung","1","0","0","0",94.25,5,0
"184","premna","forbi",50,"forbi pr.c2","far","ins","0","1","0","0",94.25,6,0
"185","premna","forbi",50,"forbi pr.c2","far","rat","0","0","1","0",94.25,9,0
"186","premna","forbi",50,"forbi pr.c2","far","none","0","0","0","0",94.25,3,0
"188","premna","forbi",50,"forbi pr.c0","far","all","1","1","1","1",91,5,0
"189","premna","forbi",50,"forbi pr.c0","far","fung","1","0","0","0",91,2,0
"190","premna","forbi",50,"forbi pr.c0","far","ins","0","1","0","0",91,10,0
"191","premna","forbi",50,"forbi pr.c0","far","rat","0","0","1","0",91,7,0
"192","premna","forbi",50,"forbi pr.c0","far","none","0","0","0","0",91,4,0
"194","premna","forbi",50,"forbi pr.b0","far","all","1","1","1","1",89.75,3,0
"195","premna","forbi",50,"forbi pr.b0","far","fung","1","0","0","0",89.75,1,0
"196","premna","forbi",50,"forbi pr.b0","far","ins","0","1","0","0",89.75,4,0
"197","premna","forbi",50,"forbi pr.b0","far","rat","0","0","1","0",89.75,2,0
"198","premna","forbi",50,"forbi pr.b0","far","none","0","0","0","0",89.75,2,0
"200","premna","forbi",50,"forbi pr.a1","far","all","1","1","1","1",91.75,6,0
"201","premna","forbi",50,"forbi pr.a1","far","fung","1","0","0","0",91.75,5,0
"202","premna","forbi",50,"forbi pr.a1","far","ins","0","1","0","0",91.75,5,0
"203","premna","forbi",50,"forbi pr.a1","far","rat","0","0","1","0",91.75,6,0
"204","premna","forbi",50,"forbi pr.a1","far","none","0","0","0","0",91.75,11,0
"206","premna","forbi",50,"forbi pr.a4","far","all","1","1","1","1",89.5,3,0
"207","premna","forbi",50,"forbi pr.a4","far","fung","1","0","0","0",89.5,3,0
"208","premna","forbi",50,"forbi pr.a4","far","ins","0","1","0","0",89.5,7,1
"209","premna","forbi",50,"forbi pr.a4","far","rat","0","0","1","0",89.5,4,0
"210","premna","forbi",50,"forbi pr.a4","far","none","0","0","0","0",89.5,6,1
"212","premna","forbi",50,"forbi pr.b2","far","all","1","1","1","1",92,4,0
"213","premna","forbi",50,"forbi pr.b2","far","fung","1","0","0","0",92,8,1
"214","premna","forbi",50,"forbi pr.b2","far","ins","0","1","0","0",92,4,0
"215","premna","forbi",50,"forbi pr.b2","far","rat","0","0","1","0",92,4,0
"216","premna","forbi",50,"forbi pr.b2","far","none","0","0","0","0",92,3,0
